#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
192-168-0-110 node-2 24 44 15 600 222 11.97233959537333333333 .00724671725257584339 .002 .39292295335333333333 .07008350564685994594 .00047169811320754716 4.70420703236314192777 .00570174446054335462 -11071 OK|591+/-3
192-168-0-110 node-2 24 44 15 600 972 11.97239575986000000000 .00716619476949733902 .002 .40551107643666666666 .07568542196565692993 .00047169811320754716 4.85493909210661235775 .00570529510746309511 -11458 OK|590+/-4
192-168-0-110 node-2 24 44 15 600 297 11.97234677175333333333 .00722606358430415003 .002 .39410197493000000000 .07096610951881176366 .00047169811320754716 4.71832550729479860547 .00570207328997257277 -10946 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 797 11.97237685830000000000 .00707490962035616607 .002 .40397729826000000000 .07489216852698300129 .00047169811320754716 4.83656845696658085655 .00570485102865669490 -11456 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 422 11.97235685684666666666 .00718547692974628789 .002 .39706515292000000000 .07207921652364060165 .00047169811320754716 4.75380570617663224898 .00570290022798920970 -11160 OK|591+/-3
192-168-0-110 node-2 24 44 15 600 1197 11.97241064004000000000 .00697344002343424905 .002 .40930916227000000000 .07693287917003019853 .00047169811320754716 4.90041736942720691929 .00570638682260242676 -11478 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 1372 11.97243471492666666666 .00693424490758544307 .002 .41319640370333333333 .07793055969176937625 .00047169811320754716 4.94696696778064149156 .00570751854521458037 -11579 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 722 11.97237031250000000000 .00713569092982316324 .002 .40104778879666666666 .07485517153561668627 .00047169811320754716 4.80149264048298209887 .00570402113168966967 -11264 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 1422 11.97242501573333333333 .00697711413313732098 .002 .41341678594000000000 .07839931986026026839 .00047169811320754716 4.94960146991212859878 .00570757785342728461 -11630 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 547 11.97237004656666666666 .00724642313885449971 .002 .39810896577666666666 .07377230878008806028 .00047169811320754716 4.76630785713419820625 .00570319746571043864 -11153 OK|590+/-4
192-168-0-110 node-2 24 44 15 600 872 11.97240444304666666666 .00711022772395258308 .002 .40471920208333333333 .07599051000106546021 .00047169811320754716 4.84546197320880175230 .00570507424336582757 -11555 OK|591+/-3
192-168-0-110 node-2 24 44 15 600 897 11.97238640239333333333 .00711329922613357661 .002 .40451240162333333333 .07595898352936055495 .00047169811320754716 4.84297877679466693717 .00570500715243655939 -11420 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 1022 11.97238847548666666666 .00711498508733281885 .002 .40698367572000000000 .07641681448391884327 .00047169811320754716 4.87256666890133071584 .00570571111879099080 -11415 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 672 11.97237219170000000000 .00717790918580882437 .002 .40087702206000000000 .07451479275388257113 .00047169811320754716 4.79944891120265144890 .00570397399312215220 -11276 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 697 11.97236642030000000000 .00714443861385144802 .002 .40128585737000000000 .07442661819467326610 .00047169811320754716 4.80434132371788327261 .00570408628757156425 -11279 OK|591+/-3
